name,typevalue,usenull,percentnull,percentunique
id,1,1,0.0,100.0
logged_user_id,1,1,0.0,0.6627414724344315
requestor,4,1,0.0,1.1444698554814852
maint_subject_id,1,1,0.0,0.025302904968128072
solicitation,4,1,0.0,77.66045447910076
maint_req_status_id,1,1,0.0,0.007785509220962483
company_id,1,1,0.0,0.0009731886526203104
area_id,1,1,0.0,0.009731886526203104
first_loc_id,1,1,0.0,0.09926524256727166
second_loc_id,1,1,0.48270157169967404,0.39024864970074447
asset_id,1,1,0.0038927546104812415,5.282468006423045
asset_part_id,1,1,92.85971485572479,2.3580361052990124
asset_part_child_id,1,1,99.14748674030461,0.5138436085835238
classification,1,1,19.96496520850567,0.04087392341005304
security,6,0,89.01075373461146,0.11288988370395601
production,6,0,89.01075373461146,0.004865943263101552
quality,6,0,100.0,0.0
environment,6,0,100.0,0.0
created_at,5,1,0.0,83.75942776507226
updated_at,6,0,0.0,55.490243783757485
req_number,4,1,0.0,92.75071772663131
deleted_at,6,0,99.98345579290545,0.016544207094545276
is_asset_stopped,2,1,0.0,0.0019463773052406208
doc_origin,6,0,100.0,0.0
requestor_email,4,1,100.0,0.0
origin_doc,4,1,98.12758503235852,0.652036397255608
number_label,4,1,76.13838742640262,23.860639384944772
component_id,1,1,99.36840056444942,0.48951389226801617
third_loc_id,1,1,1.6826431803805169,1.56780691937132
tag_id,1,1,99.90073475743273,0.09926524256727166
is_security_item,6,0,0.0,0.0019463773052406208
has_wcm_tag,2,1,0.0,0.0019463773052406208
pillar_id,1,1,96.55393898107148,0.008758697873582794
requestor_registration,4,1,83.31176098486691,0.5897523234879082
requestor_branch_line,4,1,93.14680550824778,0.40679285679528976
execute_simple_checklist_activity_id,1,1,100.0,0.0
asset_predictive_point_id,6,0,99.93090360566396,0.02335652766288745
priority,1,1,100.0,0.0
fourth_loc_id,1,1,100.0,0.0
maint_req_type_id,1,1,100.0,0.0
opened_at,5,1,0.0,83.7516422558513
executed_at,6,0,34.348693494233856,40.29001021848085
rejected_at,6,0,77.09892462653886,6.629361101649554
id_mobile,6,0,99.99902681134738,0.0009731886526203104
mobile_uuid,6,0,99.99902681134738,0.0009731886526203104
custom_number,4,1,100.0,0.0
start_asset_stopped,5,1,98.73096199698311,1.2310836455646927
cost_center_id,6,0,0.016544207094545276,0.19853048513454333
